w_wagon_type,w_train_number,w_train_type,w_wagon_number,ss_name,ss_lon,fs_name,fs_lon,f_ticket_cost,f_days_diff
Standard,60,Intercity,12,Termonde,4.10143,Zele,4.042001,16.75,16
Standard,233,Intercity,6,Belsele,4.08861,Merchtem,4.222719,94.94,26
Lux,255,Intercity,19,Termonde,4.10143,Lot,4.2737,983.3799999999999,22
Standard,448,Suburban,14,Sleidinge,3.667527,Gand-Dampoort,3.74059,38.67,27
Standard,69,Intercity,14,Neerpelt,5.43717,Neerpelt,5.43717,19.21,26
Female,52,Regular,4,Merelbeke,3.76889,Scheldewindeke,3.777844,62.14,28
Lux,293,Intercity,15,Saint-Ghislain,3.820255,Franière,4.73355,2034.3500000000001,27
Standard,231,Suburban,17,Nieuwkerken-Waas,4.185904,Saint-Nicolas,4.142963,7.6,26
Female,540,Peak,12,Quaregnon,3.856541,Saint-Ghislain,3.820255,13.9,17
Standard,248,Intercity,15,Coxyde,2.652773,Tielt,3.33034,153.09,31
Female,52,Regular,4,Merelbeke,3.76889,Gontrode,3.801671,40.82,28
Standard,229,Suburban,9,Anvers-Sud,4.390264,Nieuwkerken-Waas,4.185904,47.150000000000006,26
Female,136,Regular,5,Mons,3.942542,Hal,4.240633,221.84000000000003,26
Standard,256,Intercity,16,Herseaux,3.245961,Merchtem,4.222719,354.80999999999995,22
Female,202,Suburban,4,Sint-Denijs-Boekel,3.6984,Liedekerke,4.09529,239.58999999999997,19
Sleeping,550,Peak,3,Idegem,3.921556,Kwatrecht,3.829591,156.40000000000003,28
Standard,95,Intercity,14,Froyennes,3.354835,Tournai,3.39694,10.93,27
Female,202,Suburban,4,Sint-Denijs-Boekel,3.6984,Bruxelles-Chapelle,4.34787,247.12,30
Female,467,Peak,9,Bruxelles-Chapelle,4.34787,Wezemaal,4.747681,170.3,30
Standard,323,Intercity,14,Bruxelles-Chapelle,4.34787,Deinze,3.534435,207.17999999999998,19
Sleeping,553,Peak,18,Courtrai,3.264548,Ingelmunster,3.255416,31.59,16
Standard,279,Intercity,2,Schoonaarde,4.011095,Merelbeke,3.76889,70.08000000000001,19
Lux,93,Intercity,2,Bruxelles-Chapelle,4.34787,Haren-Sud,4.415358,216.32,23
Sleeping,519,Peak,8,Libramont,5.37927,Bertrix,5.267189,43.49,21
Standard,504,Peak,15,Ernage,4.66854,Ernage,4.66854,14.19,30
Standard,274,Suburban,3,Hal,4.240633,Vivier D Oie,4.37405,83.67999999999999,18
Standard,345,Suburban,11,Céroux-Mousty,4.569049,Moustier,4.69381,168.32000000000002,30
Female,309,Suburban,3,Bruxelles-Chapelle,4.34787,Bruxelles-Central,4.356804,10.5,29
Standard,323,Intercity,14,Bruxelles-Nord,4.36085,Deinze,3.534435,217.18999999999997,27
Sleeping,28,Regular,12,Lierde,3.826561,Zottegem,3.81441,18.86,25
Lux,93,Intercity,2,Bruxelles-Chapelle,4.34787,Bruxelles-Congrès,4.362051,67.14,15
Sleeping,396,Regular,16,Viville,5.786525,Viville,5.786525,12.58,26
Standard,215,Intercity,20,Jambes,4.876143,Lustin,4.877468,21.69,16
Female,343,Suburban,18,Céroux-Mousty,4.569049,Auvelais,4.630534,224.92000000000002,25
Lux,104,Intercity,19,Alken,5.292867,Bruxelles-Nord,4.36085,1787.15,23
Female,179,Suburban,5,Erembodegem,4.055451,Jette,4.326218,110.66,19
Standard,184,Intercity,17,Haversin,5.194376,Bruxelles-Nord,4.36085,296.23,20
Standard,388,Regular,10,Natoye,5.061162,Assesse,5.022836,35.370000000000005,19
Standard,595,Peak,14,Hillegem,3.85747,Herzele,3.880616,19.08,20
Standard,509,Peak,13,Jambes,4.876143,Jambes,4.876143,26.66,27
Sleeping,437,Peak,19,Merelbeke,3.76889,Merelbeke,3.76889,25.02,15
Sleeping,84,Regular,13,Nieuwkerken-Waas,4.185904,Melsele,4.286767,42.31999999999999,23
Standard,541,Peak,17,Bruxelles-Nord,4.36085,Herzele,3.880616,118.25000000000001,23
Sleeping,445,Peak,9,Bruges-Saint-Pierre,3.201796,Blankenberge,3.13386,33.8,21
Sleeping,357,Regular,6,Lens,3.903226,Brugelette,3.852551,38.260000000000005,23
Standard,236,Regular,12,Bornem,4.24053,Tamise,4.221349,33.94,14
Female,343,Suburban,18,Lodelinsart,4.46295,Tamines,4.608824,130.01999999999998,14
Sleeping,84,Regular,13,Nieuwkerken-Waas,4.185904,Nieuwkerken-Waas,4.185904,27.779999999999998,25
Female,108,Suburban,14,Bruxelles-Schuman,4.380725,Bruxelles-Schuman,4.380725,16.28,18
Standard,448,Suburban,14,Waarschoot,3.61535,Sleidinge,3.667527,27.96,20
Standard,579,Peak,12,Jemappes,3.885583,Ville-Pommeroeul,3.724245,63.339999999999996,29
Standard,389,Regular,20,Wichelen,3.969195,Bruges,3.21673,163.75,27
Sleeping,401,Regular,2,Bertrix,5.267189,Libramont,5.37927,43.49,18
Female,530,Peak,8,Bruxelles-Nord,4.36085,Bruxelles-Nord,4.36085,12.049999999999999,22
Lux,5,Regular,16,Zellik,4.274546,Opwijk,4.187317,402.06999999999994,29
Sleeping,494,Peak,18,Acren,3.84709,Acren,3.84709,23.56,16
Sleeping,561,Peak,2,Neerpelt,5.43717,Neerpelt,5.43717,26.43,22
Standard,262,Intercity,15,Wildert,4.463349,Buda,4.417075,158.75,20
Sleeping,555,Peak,5,Ingelmunster,3.255416,Torhout,3.10587,135.70999999999998,24
Lux,557,Peak,3,Coxyde,2.652773,Coxyde,2.652773,91.63,17
Sleeping,47,Regular,15,Waarschoot,3.61535,Waarschoot,3.61535,28.17,17
Sleeping,47,Regular,15,Waarschoot,3.61535,Sleidinge,3.667527,38.44,19
Standard,595,Peak,14,Burst,3.922418,Ede,3.987525,26.270000000000003,19
Standard,416,Suburban,10,Gentbrugge,3.756326,Gand-Saint-Pierre,3.710673,8.37,30
Standard,422,Regular,12,Bruges-Saint-Pierre,3.201796,Kessel,4.61846,330.7099999999999,21
Standard,226,Intercity,14,Herent,4.67219,Louvain,4.715868,10.51,19
Standard,505,Suburban,17,Profondsart,4.545435,Ottignies,4.56936,8.65,22
Sleeping,496,Peak,2,Marloie,5.31389,Aye,5.301096,69.28,16
Sleeping,408,Regular,17,Forrières,5.276783,Marloie,5.31389,56.03,18
Standard,190,Intercity,16,Marloie,5.31389,Hoeilaart,4.46741,283.6499999999999,18
Standard,103,Intercity,8,Vertrijk,4.83552,Gand-Saint-Pierre,3.710673,280.19,23
Standard,276,Intercity,8,Neerwinden,5.03632,Brussels Airport-Zaventem,4.482072,159.61,26
Standard,113,Regular,13,Audenarde,3.600388,Sint-Denijs-Boekel,3.6984,21.56,25
Sleeping,232,Regular,9,Wespelaar-Tildonk,4.638014,Boortmeerbeek,4.5739,38.44,23
Standard,432,Regular,11,Anseremme,4.90553,Anseremme,4.90553,22.34,20
Standard,354,Regular,10,Herseaux,3.245961,Antoing,3.45131,81.52,28
Female,450,Peak,13,Boortmeerbeek,4.5739,Haacht,4.613306,32.75,30
Standard,248,Intercity,15,Dixmude,2.868947,Aarsele,3.41836,163.24,19
Lux,234,Intercity,12,Mollem,4.216967,Hal,4.240633,1020.64,28
Sleeping,568,Peak,13,Bruxelles-Chapelle,4.34787,Bruxelles-Chapelle,4.34787,6.9,20
Standard,268,Intercity,12,Bruxelles-Schuman,4.380725,Etterbeek,4.389517,20.090000000000003,15
Lux,315,Intercity,10,Harelbeke,3.314007,Bruxelles-Nord,4.36085,1916.7000000000003,15
Standard,198,Intercity,6,Merelbeke,3.76889,Merelbeke,3.76889,18.200000000000003,22
Lux,466,Peak,19,Bokrijk,5.408383,Landen,5.07966,890.4200000000001,22
Standard,233,Intercity,6,Belsele,4.08861,Jette,4.326218,131.98000000000002,22
Standard,225,Intercity,13,Wezemaal,4.747681,Lierre,4.560611,110.86,16
Standard,101,Intercity,10,Oostkamp,3.25747,Bellem,3.48737,64.44,26
Sleeping,590,Regular,13,Malderen,4.22911,Schoonaarde,4.011095,85.96000000000001,21
Standard,391,Regular,4,Bertrix,5.267189,Bertrix,5.267189,68.32,22
Standard,193,Suburban,8,Denderleeuw,4.07183,Grand-Bigard,4.273542,54.550000000000004,31
Standard,277,Intercity,7,Coxyde,2.652773,Tielt,3.33034,153.09,25
Lux,435,Peak,7,Bruxelles-Nord,4.36085,Bruxelles-Nord,4.36085,60.25,15
Sleeping,568,Peak,13,Bruxelles-Chapelle,4.34787,Tirlemont,4.92581,211.26000000000005,28
Standard,495,Peak,4,Ghlin,3.90634,Jurbise,3.91069,34.97,26
Standard,60,Intercity,12,Termonde,4.10143,Zele,4.042001,16.75,22
Female,251,Suburban,5,Heverlee,4.695201,Heverlee,4.695201,26.75,18
Standard,103,Intercity,8,Alken,5.292867,Bruxelles-Midi,4.33653,378.96,23
Lux,409,Peak,11,Florenville,5.33112,Virton,5.519122,1023.78,15
Standard,469,Peak,15,Kiewit,5.350226,Hasselt,5.327631,7.59,18
Standard,215,Intercity,20,Jambes,4.876143,Jambes,4.876143,26.66,30
Lux,295,Intercity,15,Ronet,4.82842,Ham-sur-Sambre,4.66939,387.03000000000003,28
Standard,379,Regular,10,Schoonaarde,4.011095,Buggenhout,4.201663,49.34,16
Sleeping,16,Regular,3,Aye,5.301096,Aye,5.301096,47.09,24
Standard,504,Peak,15,Ottignies,4.56936,Mont-Saint-Guibert,4.613883,13.95,19
Sleeping,592,Peak,10,Harelbeke,3.314007,Boortmeerbeek,4.5739,389.87999999999994,16
Standard,439,Peak,2,Belsele,4.08861,Bruxelles-Midi,4.33653,211.89000000000004,16
Lux,449,Peak,11,Willebroek,4.35602,Malines,4.482785,196.2,24
Sleeping,89,Regular,2,Schaerbeek,4.37864,Zaventem,4.46989,45.62,22
Female,126,Suburban,20,Malines-Nekkerspoel,4.489917,Anvers-Berchem,4.432219,79.94,26
Female,566,Suburban,10,Wolfstee,4.786148,Herentals,4.82954,11.36,30
Standard,493,Peak,16,Brugelette,3.852551,Brugelette,3.852551,10.43,25
Standard,263,Suburban,16,Hal,4.240633,Moensberg,4.330729,76.78,22
Standard,268,Intercity,12,Bruxelles-Schuman,4.380725,Boondael,4.393081,26.96,19
Female,507,Peak,12,Mont-Saint-Guibert,4.613883,Chastre,4.648884,47.47,21
Female,488,Peak,7,Herseaux,3.245961,Mouscron,3.228449,11.97,18
Standard,214,Regular,10,Zichem,4.98736,Wezemaal,4.747681,80.95,19
Standard,412,Regular,16,Rhisnes,4.80187,Lonzée,4.7201,49.50999999999999,14
Standard,252,Intercity,12,Bruxelles-Chapelle,4.34787,Bruxelles-Congrès,4.362051,8.95,20
Sleeping,496,Peak,2,Marloie,5.31389,Chastre,4.648884,310.93000000000006,27
Lux,196,Intercity,17,Bruxelles-Chapelle,4.34787,Heizijde,4.156174,589.3600000000001,30
Standard,113,Regular,13,Sint-Denijs-Boekel,3.6984,Sint-Denijs-Boekel,3.6984,28.849999999999998,26
Female,540,Peak,12,Jemappes,3.885583,Jemappes,3.885583,32.36,25
Sleeping,563,Peak,3,Neerpelt,5.43717,Bouwel,4.746515,189.93,30
Standard,439,Peak,2,Bruxelles-Midi,4.33653,Bruxelles-Central,4.356804,123.34,23
Standard,495,Peak,4,Jurbise,3.91069,Cambron-Casteau,3.87481,31.29,15
Female,517,Peak,15,Gendron-Celles,4.964611,Anseremme,4.90553,51.32000000000001,21
Sleeping,89,Regular,2,Schaerbeek,4.37864,Diegem,4.442773,35.25,30
Sleeping,232,Regular,9,Haacht,4.613306,Muizen,4.51384,45.81999999999999,18
Standard,111,Suburban,13,Appelterre,3.972107,Ninove,4.026137,24.6,19
Sleeping,394,Regular,15,Messancy,5.818919,Athus,5.828944,10.67,24
Standard,456,Peak,3,Schulen,5.187405,Schulen,5.187405,56.5,27
Sleeping,465,Peak,11,Neerwinden,5.03632,Bruxelles-Nord,4.36085,229.41,28
Standard,424,Regular,12,De Pinte,3.650467,Lichtervelde,3.127209,131.49,19
Lux,476,Intercity,20,Sinaai,4.06894,Belsele,4.08861,225.35999999999999,27
Lux,311,Intercity,8,Veltem,4.63352,Meiser,4.394424,509.86999999999995,18
Standard,421,Regular,3,Tielen,4.89309,Malderen,4.22911,172.10999999999999,27
Standard,264,Suburban,20,Weerde,4.470935,Bruxelles-Luxembourg,4.373676,54.3,17
Sleeping,494,Peak,18,Ath,3.777428,Rebaix,3.793624,13.12,17
Sleeping,463,Peak,17,Anvers-Berchem,4.432219,Anvers-Central,4.421098,6.7,21
Standard,432,Regular,11,Houyet,5.006076,Gendron-Celles,4.964611,11.87,19
Standard,432,Regular,11,Gendron-Celles,4.964611,Anseremme,4.90553,16.52,23
Standard,345,Suburban,11,Moustier,4.69381,Flawinne,4.8063,40.97,15
Standard,264,Suburban,20,Weerde,4.470935,Germoir,4.379445,57.25,22
Female,594,Suburban,5,Bruxelles-Nord,4.36085,Welle,4.050617,125.25000000000003,16
Standard,127,Suburban,8,Bruxelles-Congrès,4.362051,Bruxelles-Nord,4.36085,1.95,16
Standard,256,Intercity,16,Mouscron,3.228449,Froyennes,3.354835,74.91000000000001,20
Standard,350,Regular,13,Jemappes,3.885583,Saint-Ghislain,3.820255,55.5,25
Lux,513,Peak,14,Marbehan,5.539757,Stockem,5.769116,692.5799999999999,19
Standard,493,Peak,16,Jurbise,3.91069,Lens,3.903226,7.57,16
Lux,565,Peak,8,Bilzen,5.50938,Schulen,5.187405,900.24,29
Standard,407,Regular,13,Arlon,5.809972,Viville,5.786525,5.37,26
Lux,283,Intercity,10,Hennuyères,4.17589,Masnuy-Saint-Pierre,3.96214,650.18,30
Standard,579,Peak,12,Quaregnon,3.856541,Callenelle,3.526178,103.24,14
Sleeping,35,Regular,9,Vertrijk,4.83552,Louvain,4.715868,38.29,22
Lux,152,Intercity,8,Anvers-Berchem,4.432219,Anvers-Sud,4.390264,159.26999999999998,21
Lux,332,Intercity,15,Geel,4.988611,Wolfstee,4.786148,447.27,22
Standard,113,Regular,13,Sint-Denijs-Boekel,3.6984,Munkzwalm,3.733242,7.29,16
Standard,252,Intercity,12,Bruxelles-Chapelle,4.34787,Buda,4.417075,31.27,17
Female,134,Regular,16,Anvers-Berchem,4.432219,Kontich-Lint,4.476358,52.54,19
Sleeping,381,Regular,7,Melreux-Hotton,5.44014,Comblain-la-Tour,5.566959,127.9,16
Female,52,Regular,4,Merelbeke,3.76889,Gand-Saint-Pierre,3.710673,17.57,30
Female,27,Regular,19,Overpelt,5.422756,Overpelt,5.422756,28.83,27
Female,546,Peak,6,Munkzwalm,3.733242,Audenarde,3.600388,103.91000000000001,26
Lux,332,Intercity,15,Boechout,4.494487,Anvers-Berchem,4.432219,234.57,15
Standard,331,Intercity,18,Wolfstee,4.786148,Mortsel,4.448435,71.28,29
Sleeping,244,Regular,2,Lierre,4.560611,Wezemaal,4.747681,152.44,29
Female,110,Suburban,6,Schendelbeke,3.899285,Schendelbeke,3.899285,21.07,22
Sleeping,591,Peak,6,Bruxelles-Nord,4.36085,Bruxelles-Congrès,4.362051,13.76,29
Female,37,Regular,15,Landen,5.07966,Landen,5.07966,77.58,22
Standard,443,Peak,14,Bruges-Saint-Pierre,3.201796,Bruges-Saint-Pierre,3.201796,25.23,18
Standard,461,Suburban,11,Nijlen,4.666589,Kessel,4.61846,31.019999999999996,30
Standard,38,Regular,4,Anvers-Sud,4.390264,Anvers-Berchem,4.432219,6.38,18
Lux,435,Peak,7,Furnes,2.66994,Coxyde,2.652773,370.94,21
Sleeping,399,Regular,5,Kapelle-op-den-Bos,4.359118,Malderen,4.22911,72.48,17
Standard,379,Regular,10,Merelbeke,3.76889,Schoonaarde,4.011095,70.08000000000001,20
Female,552,Peak,14,Bambrugge,3.935715,Vijfhuizen,3.98125,35.58,28
Female,156,Suburban,7,Lierde,3.826561,Zottegem,3.81441,20.58,24
Standard,230,Suburban,2,Nieuwkerken-Waas,4.185904,Saint-Nicolas,4.142963,7.6,30
Standard,215,Intercity,20,Yvoir,4.87864,Godinne,4.86996,30.2,16
Standard,58,Intercity,15,Rochefort-Jemelle,5.266697,Forrières,5.276783,34.42,19
Female,566,Suburban,10,Kessel,4.61846,Kessel,4.61846,27.35,25
Female,134,Regular,16,Anvers-Berchem,4.432219,Mortsel,4.448435,21.72,25
Standard,388,Regular,10,Naninne,4.929754,Naninne,4.929754,17.73,17
Sleeping,232,Regular,9,Wijgmaal,4.701478,Haacht,4.613306,55.15,30
Standard,217,Intercity,17,Gembloux,4.691497,Mont-Saint-Guibert,4.613883,47.68,25
Standard,400,Regular,16,Virton,5.519122,Florenville,5.33112,53.61,30
Standard,112,Suburban,9,Gammerages,3.965726,Gammerages,3.965726,17.619999999999997,30
Standard,345,Suburban,11,Céroux-Mousty,4.569049,Villers-la-Ville,4.533348,33.53,24
Standard,493,Peak,16,Maffle,3.800117,Mévergnies-Attre,3.833919,19.92,18
Female,420,Suburban,15,Anvers-Berchem,4.432219,Anvers-Central,4.421098,7.31,19
Standard,376,Suburban,4,Bilzen,5.50938,Tongres,5.47328,22.84,27
Female,348,Suburban,6,Charleroi-Central,4.43857,Faux,4.54926,135.31,15
Female,546,Peak,6,Audenarde,3.600388,Anzegem,3.495013,100.86999999999999,29
Standard,252,Intercity,12,Bruxelles-Chapelle,4.34787,Buda,4.417075,31.27,22
Standard,338,Intercity,10,Balen,5.164985,Balen,5.164985,29.4,20
Standard,297,Intercity,11,Nimy,3.956093,Forchies,4.325381,118.07,16
Standard,215,Intercity,20,Yvoir,4.87864,Dinant,4.90818,17.07,30
Standard,143,Regular,17,Bruxelles-Chapelle,4.34787,Vilvorde,4.432826,41.19,22
Sleeping,394,Regular,15,Arlon,5.809972,Messancy,5.818919,30.85,24
Female,17,Regular,11,Leignon,5.10778,Ciney,5.091406,10.88,22
Standard,185,Intercity,12,Bruxelles-Nord,4.36085,Rochefort-Jemelle,5.266697,326.19,25
Standard,323,Intercity,14,Bruxelles-Nord,4.36085,Schaerbeek,4.37864,6.08,17
Standard,416,Suburban,10,Gentbrugge,3.756326,Gentbrugge,3.756326,13.709999999999999,24
Standard,597,Peak,17,De Pinte,3.650467,Deinze,3.534435,60.02,19
Standard,329,Intercity,16,Anvers-Berchem,4.432219,Boechout,4.494487,31.26,22
Standard,215,Intercity,20,Godinne,4.86996,Lustin,4.877468,34.82,29
Standard,193,Suburban,8,Erembodegem,4.055451,Sint-Martens-Bodegem,4.20508,51.31,18
Female,156,Suburban,7,Lierde,3.826561,Zottegem,3.81441,20.58,25
Female,322,Suburban,3,Aiseau,4.58455,Tamines,4.608824,9.21,20
Standard,214,Regular,10,Schulen,5.187405,Testelt,4.94583,92.26,31
Standard,268,Intercity,12,Bruxelles-Schuman,4.380725,Ecaussinnes,4.156637,120.08000000000001,20
Standard,501,Peak,11,Marloie,5.31389,Aye,5.301096,6.33,24
Standard,390,Regular,18,Gand-Saint-Pierre,3.710673,Bruges-Saint-Pierre,3.201796,134.13000000000002,27
Standard,252,Intercity,12,Bruxelles-Chapelle,4.34787,Weerde,4.470935,57.18999999999999,16
Standard,423,Regular,5,Bilzen,5.50938,Bruxelles-Congrès,4.362051,273.12,25
Standard,383,Regular,8,Marloie,5.31389,Hamoir,5.533561,110.34,22
Standard,453,Suburban,3,Opwijk,4.187317,Bruxelles-Central,4.356804,70.09,16
Female,9,Regular,14,Messancy,5.818919,Arlon,5.809972,33.66,24
Standard,262,Intercity,15,Wildert,4.463349,Essen,4.451318,8.91,22
Standard,597,Peak,17,De Pinte,3.650467,Gand-Saint-Pierre,3.710673,14.96,19
Female,33,Regular,2,Zonhoven,5.348813,Zonhoven,5.348813,40.89,17
Standard,495,Peak,4,Ghlin,3.90634,Ghlin,3.90634,19.2,17
Sleeping,394,Regular,15,Messancy,5.818919,Athus,5.828944,10.67,28
Standard,551,Suburban,13,Lierde,3.826561,Zottegem,3.81441,13.72,22
Standard,391,Regular,4,Houyet,5.006076,Lustin,4.877468,109.01,23
Female,36,Regular,12,Deinze,3.534435,De Pinte,3.650467,34.04,23
Sleeping,465,Peak,11,Haren-Sud,4.415358,Bruxelles-Nord,4.36085,30.029999999999998,29
Standard,217,Intercity,17,Yvoir,4.87864,Dinant,4.90818,17.07,29
Standard,495,Peak,4,Ghlin,3.90634,Erbisoeul,3.887991,27.4,20
Female,540,Peak,12,Jemappes,3.885583,Quaregnon,3.856541,10.96,22
Female,309,Suburban,3,Bruxelles-Chapelle,4.34787,Etterbeek,4.389517,39.33999999999999,21
Female,110,Suburban,6,Iddergem,4.068488,Eichem,3.993748,46.01,21
Sleeping,144,Regular,18,Bruxelles-Chapelle,4.34787,Bruxelles-Congrès,4.362051,12.3,20
Lux,492,Peak,7,Ghlin,3.90634,Jurbise,3.91069,262.23,22
Standard,421,Regular,3,Oostkamp,3.25747,Oostkamp,3.25747,26.259999999999998,18
Standard,541,Peak,17,Bruxelles-Nord,4.36085,Liedekerke,4.09529,72.74,29
Standard,323,Intercity,14,Bruxelles-Nord,4.36085,De Pinte,3.650467,186.35999999999999,24
Lux,319,Intercity,16,Haacht,4.613306,Londerzeel,4.299069,606.72,18
Standard,101,Intercity,10,Bruxelles-Midi,4.33653,Herent,4.67219,221.02000000000004,20
Standard,400,Regular,16,Bertrix,5.267189,Libramont,5.37927,31.63,30
Standard,579,Peak,12,Jemappes,3.885583,Ville-Pommeroeul,3.724245,63.339999999999996,16
Female,530,Peak,8,Familleureux,4.21158,La Louvière-Sud,4.190611,57.62,27
Standard,453,Suburban,3,Sint-Gillis,4.117831,Sint-Gillis,4.117831,8.309999999999999,30
Standard,346,Suburban,4,Céroux-Mousty,4.569049,Flawinne,4.8063,192.66000000000003,18
Standard,448,Suburban,14,Waarschoot,3.61535,Eeklo,3.574518,9.38,24
Female,108,Suburban,14,Bruxelles-Schuman,4.380725,Huizingen,4.266485,91.43,17
Standard,388,Regular,10,Natoye,5.061162,Ciney,5.091406,15.38,26
Female,27,Regular,19,Overpelt,5.422756,Overpelt,5.422756,28.83,28
Standard,217,Intercity,17,Gembloux,4.691497,Blanmont,4.63639,33.730000000000004,20
Standard,103,Intercity,8,Bokrijk,5.408383,Kiewit,5.350226,36.72,18
Female,506,Peak,15,Rhisnes,4.80187,Rhisnes,4.80187,40.54,26
Sleeping,114,Regular,7,Vichte,3.391627,Vichte,3.391627,68.48,14
Sleeping,590,Regular,13,De Pinte,3.650467,Deinze,3.534435,94.16,24
Lux,409,Peak,11,Bertrix,5.267189,Libramont,5.37927,237.23,28
Female,506,Peak,15,Saint-Denis-Bovesse,4.76779,Saint-Denis-Bovesse,4.76779,23.82,24
Standard,229,Suburban,9,Anvers-Berchem,4.432219,Beveren,4.259525,44.42,15
Standard,258,Intercity,13,Froyennes,3.354835,Herseaux,3.245961,52.18,17
Lux,319,Intercity,16,Wijgmaal,4.701478,Louvain,4.715868,80.43,23
Female,542,Suburban,13,Waarschoot,3.61535,Waarschoot,3.61535,30.740000000000002,24
Standard,400,Regular,16,Florenville,5.33112,Florenville,5.33112,93.47,18
Standard,230,Suburban,2,Zwijndrecht,4.329776,Zwijndrecht,4.329776,16.45,14
Standard,287,Suburban,2,Herent,4.67219,Nossegem,4.50611,52.76,20
Lux,44,Regular,3,De Pinte,3.650467,Waregem,3.42551,701.86,17
Standard,495,Peak,4,Ghlin,3.90634,Ghlin,3.90634,19.2,27
Standard,337,Intercity,13,Kortenberg,4.5433,Beernem,3.32989,277.00999999999993,30
Female,52,Regular,4,Balegem-Zuid,3.80587,Balegem-Zuid,3.80587,20.83,29
Lux,492,Peak,7,Erbisoeul,3.887991,Cambron-Casteau,3.87481,285.38,22
Standard,595,Peak,14,Hillegem,3.85747,Terhagen,3.896657,24.54,28
Female,506,Peak,15,Saint-Denis-Bovesse,4.76779,Lonzée,4.7201,48.910000000000004,25
Standard,391,Regular,4,Bertrix,5.267189,Bertrix,5.267189,68.32,25
Female,540,Peak,12,Jemappes,3.885583,Quaregnon,3.856541,10.96,18
Female,560,Peak,4,Wijgmaal,4.701478,Hambos,4.66301,14.17,18
Standard,354,Regular,10,Herseaux,3.245961,Tournai,3.39694,69.36,22
Lux,454,Peak,6,Boortmeerbeek,4.5739,Boortmeerbeek,4.5739,124.52,18
Standard,274,Suburban,3,Moensberg,4.330729,Vivier D Oie,4.37405,22.02,16
Sleeping,574,Regular,12,Deinze,3.534435,De Pinte,3.650467,31.2,31
Female,594,Suburban,5,Bruxelles-Nord,4.36085,Bruxelles-Congrès,4.362051,15.02,31
Standard,359,Regular,9,Rebaix,3.793624,Ath,3.777428,9.55,20
Standard,95,Intercity,14,Herseaux,3.245961,Froyennes,3.354835,33.27,28
Standard,440,Intercity,13,De Pinte,3.650467,Bissegem,3.224208,125.11000000000001,24
Lux,315,Intercity,10,Harelbeke,3.314007,Bruxelles-Midi,4.33653,1824.89,18
Female,221,Suburban,17,Anvers-Berchem,4.432219,Anvers-Central,4.421098,7.31,15
Standard,456,Peak,3,Diest,5.05003,Booischot,4.773481,97.4,23
Female,594,Suburban,5,Liedekerke,4.09529,Vichte,3.391627,349.33000000000004,21
Standard,193,Suburban,8,Erembodegem,4.055451,Liedekerke,4.09529,24.07,23
Standard,291,Intercity,9,Flémalle-Grande,5.48098,Milmort,5.600094,64.89999999999999,26
Female,108,Suburban,14,Bruxelles-Luxembourg,4.373676,Appelterre,3.972107,259.53999999999996,28
Standard,406,Regular,20,Paliseul,5.118351,Carlsbourg,5.092785,57.28,23
Standard,268,Intercity,12,Bruxelles-Schuman,4.380725,Lembeek,4.22158,74.44000000000001,25
Standard,263,Suburban,16,Hal,4.240633,Vivier D Oie,4.37405,83.67999999999999,22
Standard,248,Intercity,15,Coxyde,2.652773,Kortemark,3.043456,97.09,19
Female,540,Peak,12,Jemappes,3.885583,Quaregnon,3.856541,10.96,16
Standard,229,Suburban,9,Nieuwkerken-Waas,4.185904,Beveren,4.259525,12.6,21
Standard,359,Regular,9,Houraing,3.835174,Lessines,3.836434,13.209999999999999,14
Female,309,Suburban,3,Bruxelles-Chapelle,4.34787,Bruxelles-Chapelle,4.34787,7.53,28
Standard,509,Peak,13,Yvoir,4.87864,Yvoir,4.87864,24.560000000000002,22
Female,518,Peak,15,Paliseul,5.118351,Gendron-Celles,4.964611,243.73,14
Standard,291,Intercity,9,Namêche,4.997939,Milmort,5.600094,195.58,30
Standard,384,Regular,19,Lissewege,3.19451,Bruges-Saint-Pierre,3.201796,18.27,17
Female,304,Suburban,3,Tour-et-Taxis,4.342105,Jette,4.326218,5.84,23
Standard,489,Peak,19,Bruxelles-Nord,4.36085,Bruxelles-Congrès,4.362051,10.01,18
Lux,441,Intercity,2,De Pinte,3.650467,Gand-Saint-Pierre,3.710673,112.17,22
Standard,105,Intercity,9,Blankenberge,3.13386,Bruges-Saint-Pierre,3.201796,24.58,27
Sleeping,582,Peak,14,Poix-Saint-Hubert,5.292646,Lonzée,4.7201,381.5,30
Lux,32,Regular,5,Olen,4.9025,Geel,4.988611,343.22,27
Female,179,Suburban,5,Erembodegem,4.055451,Liedekerke,4.09529,36.1,25
Standard,505,Suburban,17,Profondsart,4.545435,Profondsart,4.545435,12.82,30
Standard,379,Regular,10,Merelbeke,3.76889,Wichelen,3.969195,59.61,27
Standard,217,Intercity,17,Yvoir,4.87864,Beuzet,4.748531,97.94999999999999,29
Female,251,Suburban,5,Heverlee,4.695201,Oud-Heverlee,4.65331,40.25,27
Standard,576,Regular,10,Wichelen,3.969195,Kwatrecht,3.829591,41.41,24
Female,343,Suburban,18,Céroux-Mousty,4.569049,Couillet,4.468512,167.44000000000003,28
Standard,359,Regular,9,Rebaix,3.793624,Rebaix,3.793624,19.05,23
Standard,81,Intercity,19,Aarsele,3.41836,Lichtervelde,3.127209,93.84,21
Female,304,Suburban,3,Tour-et-Taxis,4.342105,Tour-et-Taxis,4.342105,11.26,27
